"LobsterID";"ZoneID";"Sex";"CaptureDate";"RecaptureDate";"CaptureIntervalDays";"CaptureEggs";"RecaptureEggs";"CaptureLengthCM";"RecaptureLengthCM";"GrowthCM";"CaptureIntervalBins"
"C0361";"M";"F";"2020-09-21";"2023-09-06";"1080";FALSE;TRUE;"25,0";"27,0";"2,0";"36 mo."
"C0879";"NE";"F";"2021-09-16";"2023-12-03";"808";FALSE;FALSE;"27,0";"29,8";"2,8";"27 mo."
"00833";"M";"F";"2021-09-16";"2023-12-02";"807";FALSE;TRUE;"29,0";"30,0";"1,0";"27 mo."
"00834";"M";"M";"2021-09-16";"2023-12-02";"807";NA;NA;"32,5";"33,0";"0,5";"27 mo."
"C0816";"M";"M";"2021-09-17";"2023-12-03";"807";NA;NA;"26,5";"31,0";"4,5";"27 mo."
"00793";"M";"F";"2021-12-06";"2023-12-06";"730";FALSE;FALSE;"19,0";"23,0";"4,0";"24 mo."
"C0671";"M";"F";"2021-12-05";"2023-12-05";"730";FALSE;FALSE;"25,0";"26,0";"1,0";"24 mo."
"01039";"M";"F";"2021-12-05";"2023-12-03";"728";FALSE;FALSE;"29,0";"30,5";"1,5";"24 mo."
"00653";"S";"M";"2021-12-08";"2023-12-06";"728";NA;NA;"25,0";"31,0";"6,0";"24 mo."
"C0621";"M";"F";"2021-12-05";"2023-12-02";"727";FALSE;FALSE;"24,5";"26,5";"2,0";"24 mo."
"C0003";"NE";"F";"2021-12-06";"2023-12-02";"726";FALSE;TRUE;"35,0";"35,7";"0,7";"24 mo."
"00671";"M";"M";"2021-12-08";"2023-12-03";"725";NA;NA;"21,0";"23,0";"2,0";"24 mo."
"00737";"M";"M";"2021-12-08";"2023-12-02";"724";NA;NA;"27,5";"29,5";"2,0";"24 mo."
"00672";"M";"F";"2021-12-08";"2023-12-02";"724";FALSE;TRUE;"24,5";"27,0";"2,5";"24 mo."
"00691";"M";"F";"2021-12-09";"2023-12-03";"724";FALSE;TRUE;"27,0";"28,0";"1,0";"24 mo."
"00838";"M";"M";"2021-09-16";"2023-09-03";"717";NA;NA;"25,5";"26,5";"1,0";"24 mo."
